Date,Open,Close,High,Low,Volume
20100104 000000,3289.75,3243.76,3295.28,3243.32,109447927
20100105 000000,3254.468,3282.179,3290.51,3221.46,126115066
20100106 000000,3277.517,3254.215,3295.87,3253.04,123651384
20100107 000000,3253.991,3192.776,3268.82,3176.71,128652827
20100108 000000,3177.259,3195.997,3198.92,3149.02,98377147
20100111 000000,3301.611,3212.75,3306.75,3197.33,136327216
20100112 000000,3205.705,3273.966,3275.2,3180.09,140655241
20100113 000000,3204.976,3172.658,3232.82,3165.49,158344278
20100114 000000,3183.381,3215.55,3219.02,3165.6,135954504
20100115 000000,3217.19,3224.152,3241.82,3197.22,120541135
20100118 000000,3213.637,3237.098,3238.24,3202.21,135067238
20100119 000000,3242.216,3246.874,3268.81,3236.84,129943532
20100120 000000,3252.037,3151.85,3255.13,3148.33,158243112
20100121 000000,3154.189,3158.863,3176.15,3126.9,114337079
20100122 000000,3118.724,3128.588,3147.83,3062.63,137758538
20100125 000000,3103.32,3094.411,3137,3092.93,78361862
20100126 000000,3094.848,3019.394,3107.2,3001.96,93507092
20100127 000000,3020.54,2986.607,3028.65,2972.63,76552214
20100128 000000,2985.214,2994.143,3006.04,2963.89,73365767
20100129 000000,2979.743,2989.292,3024.85,2968.45,80475875
20100201 000000,2981.374,2941.36,2981.37,2912.89,88147114
20100202 000000,2955.753,2934.713,2990.75,2930.56,82485789
20100203 000000,2945.034,3003.835,3005.13,2890.02,101022537
20100204 000000,2983.05,2995.308,3015.13,2968.68,99918364
20100205 000000,2936.197,2939.402,2959.23,2918.91,97274989
20100208 000000,2936.452,2935.174,2954.27,2922.19,63299582
20100209 000000,2932.09,2948.842,2957.47,2929.21,62282207
20100210 000000,2967.138,2982.5,2983.18,2958.22,55588005
20100211 000000,2985.082,2985.499,3001.64,2976.08,56646305
20100212 000000,2996.088,3018.133,3018.86,2993.44,56092124
20100222 000000,3016.703,3003.398,3026.66,3002.81,68505143
20100223 000000,2998.907,2982.575,2998.91,2938.75,80392858
20100224 000000,2964.984,3022.177,3023.74,2955.07,92918962
20100225 000000,3026.656,3060.618,3063,3022.37,119670781
20100226 000000,3053.498,3051.943,3067.53,3041.69,101296291
20100301 000000,3057.006,3087.842,3093.09,3054.55,111038878
20100302 000000,3089.706,3073.108,3095.99,3060.96,105327647
20100303 000000,3074.099,3097.005,3098.46,3061.47,117156519
20100304 000000,3098.069,3023.373,3102.4,3016.22,126383889
20100305 000000,3026.639,3031.065,3044.17,3011.09,92259665
20100308 000000,3036.415,3053.232,3058.83,3030.91,81011950
20100309 000000,3053.26,3069.141,3084.85,3028.69,92381803
20100310 000000,3067.15,3048.927,3085.99,3034.74,84612953
20100311 000000,3050.644,3051.282,3070.93,3025.31,79872195
20100312 000000,3051.474,3013.412,3057.52,3011.97,71418912
20100315 000000,3010.722,2976.939,3013.52,2963.49,63749768
20100316 000000,2974.487,2993.838,2993.84,2963.44,59627991
20100317 000000,2999.815,3050.479,3050.76,2994.89,87085699
20100318 000000,3053.158,3046.089,3063.59,3035.02,91379124
20100319 000000,3046.749,3067.75,3069.66,3031.02,88481189
20100322 000000,3069.66,3074.576,3083.34,3061.76,96499411
20100323 000000,3076.957,3053.125,3082.97,3051.21,92867190
20100324 000000,3058.928,3056.808,3076.75,3052.21,89266365
20100325 000000,3051.356,3019.176,3051.36,3012.31,90190542
20100326 000000,3017.215,3059.715,3067.71,3009.91,93077716
20100329 000000,3076.048,3123.798,3130.28,3071.69,131895114
20100330 000000,3123.832,3128.468,3132.58,3113.77,102431515
20100331 000000,3129.574,3109.105,3130.11,3101.76,101143351
20100401 000000,3111.935,3147.416,3148.34,3111.93,126779213
20100402 000000,3154.77,3157.957,3159.6,3141.87,122789383
20100406 000000,3170.612,3158.681,3177.97,3141.93,116814703
20100407 000000,3156.314,3148.222,3161.08,3132.24,103521570
20100408 000000,3143.451,3118.709,3143.83,3110.26,114643389
20100409 000000,3118.926,3145.347,3146.46,3114.79,105425960
20100412 000000,3151.888,3129.263,3156.21,3111.9,137962701
20100413 000000,3129.692,3161.251,3173.634,3101.483,143982040
20100414 000000,3161.551,3166.183,3167.66,3145.55,106435847
20100415 000000,3168.139,3164.966,3181.66,3135.99,106263908
20100416 000000,3159.672,3130.302,3159.67,3121.37,80934918
20100419 000000,3096.785,2980.297,3096.78,2977.77,129360505
20100420 000000,2980.081,2979.533,2998.91,2941.35,101732249
20100421 000000,2984.618,3033.278,3034.33,2972.1,116308514
20100422 000000,3021.289,2999.484,3023.64,2978.46,121726664
20100423 000000,2995.568,2983.537,3015.63,2966.78,103518713
20100426 000000,2988.077,2969.503,2996.83,2965.83,89146675
20100427 000000,2962.145,2907.928,2962.15,2866.34,108271273
20100428 000000,2883.167,2900.331,2916.68,2865.47,83749411
20100429 000000,2912.196,2869.139,2928.93,2867.94,89344434
20100430 000000,2867.649,2870.611,2875.81,2820.95,88734444
20100504 000000,2821.354,2835.277,2862.55,2809.13,66079844
20100505 000000,2804.514,2857.151,2857.29,2770.33,95340578
20100506 000000,2838.951,2739.702,2838.95,2735,92649316
20100507 000000,2685.992,2688.383,2732.18,2665.81,92026260
20100510 000000,2690.859,2698.757,2713.06,2646.59,81854050
20100511 000000,2745.604,2647.574,2751.07,2638.53,87897107
20100512 000000,2628.019,2655.714,2668.12,2604.2,82544160
20100513 000000,2653.579,2710.507,2711.07,2646.9,83077733
20100514 000000,2692.096,2696.629,2712.86,2677.19,73368024
20100517 000000,2663.882,2559.931,2663.88,2557.24,82648326
20100518 000000,2555.141,2594.783,2603.32,2529.63,82792386
20100519 000000,2581.63,2587.807,2623.96,2554.98,71372186
20100520 000000,2571.54,2555.94,2609.64,2551.45,66390044
20100521 000000,2492.575,2583.522,2584.45,2481.97,83856090
20100524 000000,2596.318,2673.423,2680.49,2596.32,112497272
20100525 000000,2654.359,2622.63,2659.74,2609.09,93269050
20100526 000000,2620.853,2625.793,2644.94,2610.51,68710464
20100527 000000,2615.105,2655.918,2662.08,2583.55,87883569
20100528 000000,2680.403,2655.767,2686.54,2641.41,86947998
20100531 000000,2647.868,2592.147,2665.39,2591.53,78743882
20100601 000000,2577.763,2568.283,2598.9,2534.27,74666113
20100602 000000,2548.542,2571.423,2572.34,2521.06,64866634
20100603 000000,2575.77,2552.656,2596.14,2551.53,69502328
20100604 000000,2536.231,2553.593,2556.97,2527.87,56518495
20100607 000000,2508.329,2511.729,2527.1,2491.66,65697988
20100608 000000,2510.084,2513.947,2531.88,2491.65,63032468
20100609 000000,2523.879,2583.87,2589.47,2501.12,96030984
20100610 000000,2561.549,2562.58,2581.05,2554.79,74583964
20100611 000000,2574.899,2569.942,2590.98,2566.62,66519280
20100617 000000,2588.965,2560.245,2595.51,2559.72,54957039
20100618 000000,2556.602,2513.222,2568.86,2505.33,67218453
20100621 000000,2517.292,2586.21,2587.34,2504.32,78554425
20100622 000000,2579.631,2588.698,2598.35,2572.96,63681459
