,date,open,close,high,low,volume,code
0,2005-01-04,1.295,1.281,1.307,1.264,4824.76,000016
1,2005-01-05,1.293,1.305,1.312,1.283,3973.06,000016
2,2005-01-06,1.312,1.303,1.319,1.286,3344.6,000016
3,2005-01-07,1.303,1.303,1.31,1.286,3351.08,000016
4,2005-01-10,1.295,1.295,1.303,1.271,5817.8,000016
5,2005-01-11,1.305,1.319,1.353,1.286,5882.37,000016
6,2005-01-12,1.31,1.303,1.315,1.29,3487.5,000016
7,2005-01-13,1.312,1.319,1.329,1.305,4168.99,000016
8,2005-01-14,1.315,1.29,1.329,1.288,3765.24,000016
9,2005-01-17,1.278,1.257,1.3,1.249,5043.8,000016
10,2005-01-18,1.257,1.261,1.283,1.235,5550.74,000016
11,2005-01-19,1.261,1.247,1.266,1.244,2664.73,000016
12,2005-01-20,1.244,1.227,1.247,1.213,5551.36,000016
13,2005-01-21,1.227,1.24,1.247,1.196,7856.2,000016
14,2005-01-24,1.266,1.261,1.278,1.247,6615.01,000016
15,2005-01-25,1.278,1.264,1.278,1.249,5094.74,000016
16,2005-01-26,1.278,1.249,1.278,1.247,2871.06,000016
17,2005-01-27,1.266,1.249,1.266,1.23,4294.08,000016
18,2005-01-28,1.247,1.244,1.249,1.206,5623.52,000016
19,2005-01-31,1.261,1.198,1.264,1.198,7618.06,000016
20,2005-02-01,1.208,1.194,1.218,1.174,3910.99,000016
21,2005-02-02,1.23,1.276,1.278,1.211,11472.64,000016
22,2005-02-03,1.298,1.232,1.298,1.232,10100.95,000016
23,2005-02-04,1.254,1.273,1.283,1.227,10812.4,000016
24,2005-02-16,1.283,1.269,1.29,1.266,5839.84,000016
25,2005-02-17,1.278,1.257,1.278,1.252,4023.14,000016
26,2005-02-18,1.269,1.24,1.269,1.24,2870.45,000016
27,2005-02-21,1.259,1.259,1.264,1.244,3509.7,000016
28,2005-02-22,1.254,1.3,1.322,1.254,16601.39,000016
29,2005-02-23,1.295,1.307,1.319,1.281,17740.48,000016
30,2005-02-24,1.305,1.298,1.307,1.288,8302.14,000016
31,2005-02-25,1.3,1.303,1.324,1.293,20039.98,000016
32,2005-02-28,1.303,1.3,1.305,1.283,7189.04,000016
33,2005-03-01,1.3,1.293,1.3,1.276,5434.03,000016
34,2005-03-02,1.293,1.257,1.3,1.257,6832.78,000016
35,2005-03-03,1.254,1.264,1.266,1.244,5537.27,000016
36,2005-03-04,1.259,1.247,1.259,1.242,4072.41,000016
37,2005-03-07,1.242,1.232,1.252,1.23,5759.4,000016
38,2005-03-08,1.232,1.252,1.252,1.232,5523.08,000016
39,2005-03-09,1.259,1.252,1.264,1.244,5818.91,000016
40,2005-03-10,1.295,1.281,1.307,1.266,31291.28,000016
41,2005-03-11,1.307,1.307,1.356,1.305,62925.61,000016
42,2005-03-14,1.303,1.319,1.344,1.298,30545.93,000016
43,2005-03-15,1.307,1.264,1.307,1.259,18153.26,000016
44,2005-03-16,1.259,1.232,1.259,1.23,10358.96,000016
45,2005-03-17,1.232,1.237,1.259,1.227,7638.88,000016
46,2005-03-18,1.237,1.196,1.247,1.194,10036.83,000016
47,2005-03-21,1.191,1.145,1.196,1.114,13626.29,000016
48,2005-03-22,1.145,1.073,1.16,1.07,10602.15,000016
49,2005-03-23,1.077,1.145,1.15,1.053,12891.59,000016
50,2005-03-24,1.131,1.152,1.162,1.102,7322.67,000016
51,2005-03-25,1.152,1.109,1.152,1.109,5537.46,000016
52,2005-03-28,1.109,1.094,1.109,1.07,5503.33,000016
53,2005-03-29,1.097,1.07,1.097,1.065,8345.67,000016
54,2005-03-30,1.07,1.051,1.077,1.039,8641.23,000016
55,2005-04-01,1.077,1.102,1.133,1.073,22419.15,000016
56,2005-04-04,1.102,1.07,1.102,1.065,8387.23,000016
57,2005-04-05,1.065,1.073,1.092,1.06,5644.38,000016
58,2005-04-06,1.077,1.058,1.077,1.041,9614.71,000016
59,2005-04-07,1.053,1.094,1.109,1.053,15227.87,000016
60,2005-04-08,1.089,1.126,1.138,1.089,14551.24,000016
61,2005-04-11,1.126,1.126,1.169,1.097,17552.86,000016
62,2005-04-12,1.126,1.089,1.126,1.089,9561.87,000016
63,2005-04-13,1.116,1.131,1.157,1.109,14734.67,000016
64,2005-04-14,1.131,1.092,1.15,1.085,11559.28,000016
65,2005-04-15,1.089,1.053,1.089,1.046,8503.36,000016
66,2005-04-18,1.041,0.99,1.053,0.949,16247.82,000016
67,2005-04-19,1.087,1.027,1.087,1.012,13344.29,000016
68,2005-04-20,1.029,1.002,1.034,1.002,6116.51,000016
69,2005-04-21,1.007,0.971,1.01,0.966,9333.6,000016
70,2005-04-22,0.973,0.978,0.993,0.966,6424.75,000016
71,2005-04-25,0.978,0.956,0.978,0.944,8025.92,000016
72,2005-04-26,0.944,1.01,1.014,0.939,10536.28,000016
73,2005-04-27,1.007,0.985,1.01,0.978,6783.91,000016
74,2005-04-28,0.981,1.019,1.027,0.968,11460.34,000016
75,2005-04-29,1.019,0.995,1.019,0.988,7421.18,000016
76,2005-05-09,1.022,0.959,1.022,0.956,5867.11,000016
77,2005-05-10,0.983,0.968,0.983,0.939,8176.28,000016
78,2005-05-11,0.956,0.978,1.005,0.956,7791.21,000016
79,2005-05-12,0.968,0.971,0.981,0.961,3859.45,000016
80,2005-05-13,0.968,0.985,0.997,0.968,6234.54,000016
81,2005-05-16,0.988,0.993,1.0,0.968,4958.47,000016
82,2005-05-17,1.0,1.012,1.022,0.983,15536.34,000016
83,2005-05-18,1.007,1.065,1.089,1.007,31391.24,000016
84,2005-05-19,1.051,1.039,1.051,1.029,15791.3,000016
85,2005-05-20,1.041,1.017,1.056,1.017,8611.93,000016
86,2005-05-23,1.012,0.973,1.012,0.971,10567.28,000016
87,2005-05-24,0.968,0.995,1.005,0.956,11537.53,000016
88,2005-05-25,0.988,0.993,1.012,0.985,7883.98,000016
89,2005-05-26,0.988,0.995,1.012,0.988,7389.58,000016
90,2005-05-27,0.99,1.0,1.024,0.988,9052.28,000016
91,2005-05-30,0.997,1.014,1.017,0.997,4815.76,000016
92,2005-05-31,1.014,1.005,1.022,0.997,5395.3,000016
93,2005-06-01,1.0,0.988,1.007,0.983,6345.18,000016
94,2005-06-02,0.985,0.985,0.997,0.968,4946.97,000016
95,2005-06-03,0.988,0.959,0.993,0.947,9610.6,000016
96,2005-06-06,0.959,0.983,0.983,0.951,5475.44,000016
97,2005-06-07,0.983,0.99,1.007,0.981,9187.95,000016
98,2005-06-08,0.983,1.053,1.065,0.983,28113.08,000016
99,2005-06-09,1.053,1.053,1.06,1.031,26520.93,000016
100,2005-06-10,1.053,1.027,1.06,1.017,15614.09,000016
101,2005-06-13,1.019,1.019,1.029,0.995,15205.16,000016
102,2005-06-14,1.027,1.002,1.031,1.002,11076.1,000016
103,2005-06-15,1.0,0.976,1.007,0.973,7855.53,000016
104,2005-06-16,0.983,0.983,0.988,0.973,6300.7,000016
105,2005-06-17,0.993,1.012,1.027,0.988,16840.15,000016
106,2005-06-20,1.0,1.029,1.031,0.964,29148.17,000016
107,2005-06-21,1.027,1.01,1.027,1.005,12343.78,000016
108,2005-06-22,1.01,1.01,1.014,0.993,9121.29,000016
109,2005-06-23,1.01,0.995,1.012,0.993,6944.49,000016
110,2005-06-24,0.99,0.995,0.997,0.968,14178.06,000016
111,2005-06-27,0.981,1.017,1.034,0.981,20219.81,000016
112,2005-06-28,1.014,1.002,1.014,0.99,12495.86,000016
113,2005-06-29,1.0,0.985,1.0,0.983,8500.74,000016
114,2005-07-01,0.964,0.893,0.964,0.889,28455.05,000016
115,2005-07-04,0.886,0.869,0.886,0.843,13940.99,000016
116,2005-07-05,0.862,0.852,0.872,0.847,5711.59,000016
117,2005-07-06,0.852,0.859,0.869,0.852,4442.54,000016
118,2005-07-07,0.859,0.874,0.876,0.852,5280.08,000016
119,2005-07-08,0.874,0.821,0.874,0.816,6749.18,000016
120,2005-07-11,0.828,0.794,0.855,0.794,8340.41,000016
121,2005-07-12,0.784,0.823,0.828,0.777,11806.91,000016
122,2005-07-13,0.816,0.821,0.828,0.804,7615.08,000016
123,2005-07-14,0.828,0.811,0.838,0.809,7032.59,000016
124,2005-07-15,0.821,0.789,0.828,0.782,8563.48,000016
125,2005-07-18,0.78,0.755,0.792,0.753,6042.54,000016
126,2005-07-19,0.748,0.777,0.78,0.748,7647.89,000016
127,2005-07-20,0.787,0.787,0.797,0.78,8613.14,000016
128,2005-07-21,0.787,0.787,0.787,0.763,5308.21,000016
129,2005-07-22,0.772,0.806,0.816,0.772,15658.1,000016
130,2005-07-25,0.799,0.789,0.801,0.777,9708.23,000016
131,2005-07-26,0.789,0.811,0.811,0.782,14351.29,000016
132,2005-07-27,0.809,0.843,0.847,0.801,21954.27,000016
133,2005-07-28,0.843,0.838,0.862,0.838,29575.27,000016
134,2005-07-29,0.845,0.84,0.867,0.83,18088.45,000016
135,2005-08-01,0.847,0.862,0.867,0.838,20402.15,000016
136,2005-08-02,0.869,0.886,0.886,0.84,45048.14,000016
137,2005-08-03,0.886,0.896,0.925,0.876,58597.98,000016
138,2005-08-04,0.896,0.879,0.896,0.874,16064.22,000016
139,2005-08-05,0.864,0.891,0.896,0.864,16724.98,000016
140,2005-08-08,0.896,0.893,0.91,0.886,19208.0,000016
141,2005-08-09,0.896,0.91,0.91,0.884,21892.89,000016
142,2005-08-10,0.91,0.901,0.918,0.884,27866.45,000016
143,2005-08-11,0.901,0.93,0.932,0.896,43085.47,000016
144,2005-08-12,0.93,0.898,0.949,0.898,48983.84,000016
145,2005-08-15,0.898,0.908,0.91,0.886,24920.9,000016
146,2005-08-16,0.915,0.918,0.937,0.898,26881.41,000016
147,2005-08-17,0.908,0.951,0.954,0.903,42836.29,000016
148,2005-08-18,0.961,0.908,0.983,0.903,52504.14,000016
149,2005-08-19,0.896,0.886,0.918,0.859,30283.44,000016
150,2005-08-22,0.881,0.896,0.898,0.876,9530.27,000016
151,2005-08-23,0.896,0.862,0.896,0.859,12993.25,000016
152,2005-08-24,0.859,0.874,0.886,0.859,12033.44,000016
