date,open,high,close,low,volume,amount
2017-12-29,3.75,3.8,3.78,3.74,194608181.0,772256600.0
2017-12-28,3.71,3.76,3.74,3.71,143919532.0,564753195.0
2017-12-27,3.76,3.79,3.73,3.7,156134038.0,614249354.0
2017-12-26,3.73,3.78,3.76,3.72,143002940.0,563804554.0
2017-12-25,3.71,3.75,3.73,3.71,147146904.0,577416674.0
2017-12-22,3.72,3.72,3.71,3.7,66592167.0,259854669.0
2017-12-21,3.71,3.73,3.71,3.7,108653449.0,423868764.0
2017-12-20,3.71,3.73,3.71,3.69,136958369.0,533882563.0
2017-12-19,3.68,3.71,3.7,3.68,115783803.0,449421333.0
2017-12-18,3.69,3.7,3.68,3.67,78621374.0,304298077.0
2017-12-15,3.71,3.71,3.68,3.68,99984741.0,387113427.0
2017-12-14,3.72,3.74,3.7,3.69,93644144.0,365450553.0
2017-12-13,3.69,3.72,3.71,3.68,112343130.0,436717951.0
2017-12-12,3.74,3.74,3.69,3.69,73759342.0,287948490.0
2017-12-11,3.73,3.74,3.74,3.71,106676787.0,417403226.0
2017-12-08,3.75,3.75,3.73,3.72,96399902.0,378011749.0
2017-12-07,3.77,3.77,3.75,3.72,128137493.0,503892047.0
2017-12-06,3.79,3.81,3.77,3.75,157911563.0,627063556.0
2017-12-05,3.73,3.83,3.79,3.71,353241207.0,1400856517.0
2017-12-04,3.73,3.74,3.73,3.7,115384379.0,451271381.0
2017-12-01,3.74,3.76,3.73,3.7,162834081.0,637302190.0
2017-11-30,3.74,3.76,3.74,3.71,131279059.0,515510997.0
2017-11-29,3.73,3.76,3.74,3.69,162378687.0,635142989.0
2017-11-28,3.74,3.75,3.73,3.7,158778834.0,621184791.0
2017-11-27,3.8,3.8,3.76,3.71,303061902.0,1194590362.0
2017-11-24,3.8,3.84,3.81,3.77,182082353.0,726345947.0
2017-11-23,3.83,3.88,3.81,3.78,328517393.0,1322386582.0
2017-11-22,3.75,3.85,3.84,3.74,404924420.0,1619053793.0
2017-11-21,3.75,3.79,3.73,3.72,323580994.0,1278062021.0
2017-11-20,3.72,3.77,3.75,3.7,231886806.0,910722203.0
2017-11-17,3.67,3.75,3.73,3.66,330936168.0,1288300217.0
2017-11-16,3.68,3.68,3.66,3.65,108908226.0,419467272.0
2017-11-15,3.68,3.69,3.68,3.67,111491385.0,431465817.0
2017-11-14,3.68,3.69,3.69,3.67,139877827.0,541091268.0
2017-11-13,3.68,3.72,3.7,3.66,322815371.0,1249739870.0
2017-11-10,3.73,3.73,3.68,3.66,201625138.0,779390238.0
2017-11-09,3.75,3.76,3.73,3.72,89770075.0,352379365.0
2017-11-08,3.73,3.76,3.76,3.71,184329323.0,724440871.0
2017-11-07,3.68,3.74,3.72,3.68,174326481.0,679990720.0
2017-11-06,3.68,3.69,3.68,3.66,158281673.0,610201487.0
2017-11-03,3.69,3.7,3.69,3.66,234837453.0,907732575.0
2017-11-02,3.71,3.72,3.7,3.67,225153443.0,873644524.0
